name,link,remote_testing,adaptive_irt,test_type,combined
,,No,No,, 
Account Manager Solution,/solutions/products/product-catalog/view/account-manager-solution/,No,No,,Account Manager Solution 
Administrative Professional - Short Form,/solutions/products/product-catalog/view/administrative-professional-short-form/,No,No,,Administrative Professional - Short Form 
Agency Manager Solution,/solutions/products/product-catalog/view/agency-manager-solution/,No,No,,Agency Manager Solution 
Apprentice + 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,,Apprentice + 8.0 Job Focused Assessment 
Apprentice 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,,Apprentice 8.0 Job Focused Assessment 
Bank Administrative Assistant - Short Form,/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,,Bank Administrative Assistant - Short Form 
Bank Collections Agent - Short Form,/solutions/products/product-catalog/view/bank-collections-agent-short-form/,No,No,,Bank Collections Agent - Short Form 
Bank Operations Supervisor - Short Form,/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,,Bank Operations Supervisor - Short Form 
Bilingual Spanish Reservation Agent Solution,/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,,Bilingual Spanish Reservation Agent Solution 
"Bookkeeping, Accounting, Auditing Clerk Short Form",/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,,"Bookkeeping, Accounting, Auditing Clerk Short Form "
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,No,No,,Branch Manager - Short Form 
Cashier Solution,/solutions/products/product-catalog/view/cashier-solution/,No,No,,Cashier Solution 
,,No,No,, 
Global Skills Development Report,/solutions/products/product-catalog/view/global-skills-development-report/,No,No,,Global Skills Development Report 
.NET Framework 4.5,/solutions/products/product-catalog/view/net-framework-4-5/,No,No,,.NET Framework 4.5 
.NET MVC (New),/solutions/products/product-catalog/view/net-mvc-new/,No,No,,.NET MVC (New) 
.NET MVVM (New),/solutions/products/product-catalog/view/net-mvvm-new/,No,No,,.NET MVVM (New) 
.NET WCF (New),/solutions/products/product-catalog/view/net-wcf-new/,No,No,,.NET WCF (New) 
.NET WPF (New),/solutions/products/product-catalog/view/net-wpf-new/,No,No,,.NET WPF (New) 
.NET XAML (New),/solutions/products/product-catalog/view/net-xaml-new/,No,No,,.NET XAML (New) 
Accounts Payable (New),/solutions/products/product-catalog/view/accounts-payable-new/,No,No,,Accounts Payable (New) 
Accounts Payable Simulation (New),/solutions/products/product-catalog/view/accounts-payable-simulation-new/,No,No,,Accounts Payable Simulation (New) 
Accounts Receivable (New),/solutions/products/product-catalog/view/accounts-receivable-new/,No,No,,Accounts Receivable (New) 
Accounts Receivable Simulation (New),/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,No,No,,Accounts Receivable Simulation (New) 
ADO.NET (New),/solutions/products/product-catalog/view/ado-net-new/,No,No,,ADO.NET (New) 
